OA,ts0200001,ts0200002,ts0200003
E00060274,0,0,0
E00060275,0,0,0
E00060276,0,0,0
E00060277,0,0,0
E00060279,0,0,0
E00060280,0,0,0
E00060290,0,0,0
E00060364,0,0,0
E00060367,0,0,0
E00060368,0,0,0
E00060369,0,0,0
E00060371,0,0,0
E00060362,0,0,0
E00060363,0,0,0
E00060365,0,0,0
E00060366,0,0,0
E00060370,0,0,0
E00060372,0,0,0
E00060374,0,0,0
E00060376,0,0,0
E00060373,0,0,0
E00174092,0,0,0
E00174093,0,0,0
E00174094,0,0,0
E00174100,0,0,0
E00174102,0,0,0
E00060375,0,0,0
E00060377,0,0,0
E00174098,0,0,0
E00174101,0,0,0
E00188243,0,0,0
E00188304,0,0,0
E00188318,0,0,0
E00188332,0,0,0
E00060283,0,0,0
E00060284,0,0,0
E00060287,0,0,0
E00060288,0,0,0
E00060289,0,0,0
E00060273,0,0,0
E00060278,0,0,0
E00060281,0,0,0
E00060282,0,0,0
E00060285,0,0,0
E00060286,0,0,0
E00060484,0,0,0
E00060486,0,0,0
E00060489,0,0,0
E00060490,0,0,0
E00060491,0,0,0
E00060492,0,0,0
E00060472,0,0,0
E00060474,0,0,0
E00060476,0,0,0
E00060478,0,0,0
E00188301,0,0,0
E00188321,0,0,0
E00060481,0,0,0
E00060482,0,0,0
E00060483,0,0,0
E00060485,0,0,0
E00060487,0,0,0
E00060488,0,0,0
E00060493,0,0,0
E00060471,0,0,0
E00060473,0,0,0
E00060475,0,0,0
E00060479,0,0,0
E00060480,0,0,0
E00060291,0,0,0
E00060292,0,0,0
E00060294,0,0,0
E00060306,0,0,0
E00060309,0,0,0
E00060296,0,0,0
E00060297,0,0,0
E00060299,0,0,0
E00060302,1,1,0
E00060304,0,0,0
E00060305,0,0,0
E00060550,1,1,0
E00060552,0,0,0
E00165757,0,0,0
E00060532,0,0,0
E00060533,0,0,0
E00060540,0,0,0
E00060542,0,0,0
E00060554,0,0,0
E00060555,0,0,0
E00165756,0,0,0
E00060293,0,0,0
E00060295,0,0,0
E00060298,0,0,0
E00060303,0,0,0
E00060307,0,0,0
E00060308,0,0,0
E00060310,0,0,0
E00174095,0,0,0
E00060258,0,0,0
E00060259,0,0,0
E00060260,0,0,0
E00060261,0,0,0
E00060262,0,0,0
E00060263,0,0,0
E00060346,0,0,0
E00060348,0,0,0
E00060350,0,0,0
E00060351,0,0,0
E00060337,0,0,0
E00060340,0,0,0
E00060353,0,0,0
E00060354,0,0,0
E00060518,0,0,0
E00060519,2,0,2
E00060527,0,0,0
E00060528,1,1,0
E00060529,0,0,0
E00060531,2,0,2
E00060517,0,0,0
E00060524,0,0,0
E00060525,0,0,0
E00060526,0,0,0
E00060530,0,0,0
E00060255,0,0,0
E00060265,0,0,0
E00060267,0,0,0
E00060268,0,0,0
E00060269,0,0,0
E00060272,0,0,0
E00060438,0,0,0
E00060449,0,0,0
E00060450,0,0,0
E00060452,0,0,0
E00060445,0,0,0
E00060446,0,0,0
E00060447,0,0,0
E00060448,0,0,0
E00060451,0,0,0
E00060514,0,0,0
E00060515,0,0,0
E00060516,0,0,0
E00060521,0,0,0
E00060523,0,0,0
E00165754,0,0,0
E00165755,0,0,0
E00060256,0,0,0
E00060257,0,0,0
E00060264,0,0,0
E00060266,0,0,0
E00060270,0,0,0
E00060271,0,0,0
E00060419,0,0,0
E00060421,0,0,0
E00060422,0,0,0
E00060424,0,0,0
E00060434,0,0,0
E00060435,0,0,0
E00060420,0,0,0
E00060423,0,0,0
E00060431,0,0,0
E00060432,0,0,0
E00060433,0,0,0
E00060439,0,0,0
